Product Name,Description,Category,Origin,Packaging,Carbon (kg),Water (L),Transport Mode,Animal-Based,Imported,Eco Score
Organic Deodorant,"Fragrance-free, paper tube",Personal Care,Portugal,Paper,8.66,8308,Air,False,True,52
Local Deodorant,"Gel-based, recyclable bottle",Personal Care,China,Glass,21.31,16930,Truck,False,True,20
Local Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,Brazil,None,4.56,1546,Ship,True,True,73
Local Body Wash,"Fragrance-free, paper tube",Personal Care,USA,Foil,0.98,5931,Ship,False,True,83
Imported Bottled Water,"Glass bottle, no additives",Beverage,China,Cardboard,16.02,14922,Ship,False,True,34
Imported Local Apples,"Frozen, plastic wrap, processed",Food,Portugal,None,24.68,17268,Truck,False,True,12
Local Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Brazil,Paper,28.75,573,Ship,False,True,37
Imported Local Apples,"Vegan, packaged in TetraPak",Food,Portugal,Plastic,25.68,11970,Truck,False,True,11
Local Energy Drink,"Glass bottle, no additives",Beverage,India,Glass,1.62,13645,Air,False,False,60
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,Portugal,Paper,1.01,4374,Truck,False,True,85
Eco Beef Steak,"Frozen, plastic wrap, processed",Food,Portugal,Foil,28.3,13602,Ship,True,True,2
Organic Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,India,Plastic,3.31,6448,Truck,True,False,62
Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Foil,3.16,16319,Air,False,True,47
Organic Body Wash,"Fragrance-free, paper tube",Personal Care,India,Plastic,9.11,12069,Truck,False,False,48
Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Brazil,Glass,16.29,3247,Air,True,True,37
Organic Shampoo,"Biodegradable, compostable wrapper",Personal Care,China,Foil,3.55,2632,Truck,False,True,83
Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,Cardboard,28.15,12418,Truck,False,True,15
Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Foil,2.28,12091,Ship,False,True,67
Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Portugal,Foil,24.41,19256,Ship,False,True,9
Organic Chicken Nuggets,"Farm-grown, no packaging",Food,USA,Glass,8.85,10796,Truck,True,True,47
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Foil,6.09,20000,Truck,False,True,43
Imported Shampoo,"Biodegradable, compostable wrapper",Personal Care,China,TetraPak,19.72,6123,Truck,False,True,44
Eco Almond Milk,"Mixed nuts, oats, wrapped in foil",Food,Brazil,Glass,16.04,2871,Air,True,True,38
Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,1.55,5329,Truck,False,True,82
Imported Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,Germany,None,6.77,15302,Ship,False,True,52
Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,TetraPak,26.28,17833,Air,False,True,0
Lotion,"Plastic case, roll-on type",Personal Care,Germany,Foil,18.29,3927,Air,False,True,42
Imported Bottled Water,"Glass bottle, no additives",Beverage,India,Compost,27.14,2130,Air,False,False,32
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,Brazil,Cardboard,18.11,12922,Air,False,True,24
Deodorant,"Gel-based, recyclable bottle",Personal Care,USA,Plastic,25.97,204,Truck,False,True,34
Eco Paneer,"Organic, non-GMO, paper-wrapped",Food,China,TetraPak,1.27,9258,Ship,True,True,65
Local Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,China,TetraPak,20.08,198,Ship,False,True,55
Eco Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Portugal,Foil,11.39,8081,Truck,False,True,57
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,China,TetraPak,8.73,9777,Ship,False,True,59
Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Foil,22.71,10328,Truck,False,True,30
Beef Steak,"Farm-grown, no packaging",Food,India,Plastic,10.17,11391,Air,True,False,28
Imported Lotion,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,5.96,19293,Air,False,True,36
Local Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Portugal,Paper,25.43,13788,Ship,False,True,18
Eco Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,India,TetraPak,21.57,5684,Truck,False,False,46
Imported Energy Drink,"Glass bottle, no additives",Beverage,Portugal,Foil,17.95,12203,Ship,False,True,36
Imported Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,China,None,7.39,9934,Air,False,True,52
Eco Recycled Sunglasses,"Recycled material, cloth lining",Accessories,USA,Compost,9.26,3509,Air,False,True,60
Tofu,"Vegan, packaged in TetraPak",Food,Portugal,TetraPak,3.8,9874,Air,False,True,59
Eco Organic Juice,"Glass bottle, no additives",Beverage,Portugal,Plastic,24.06,8949,Truck,False,True,20
Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,None,17.68,2551,Ship,False,True,55
Organic Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Foil,18.13,5215,Truck,False,True,49
Imported Vegan Leather Wallet,"Reusable, printed cotton",Accessories,USA,Cardboard,26.75,8923,Ship,False,True,25
Organic Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,China,None,17.0,4234,Air,False,True,43
Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,Germany,None,16.43,18806,Ship,False,True,26
Energy Drink,"Aluminum can, roasted beans",Beverage,USA,TetraPak,1.55,16860,Truck,False,True,59
Local Local Apples,"Plastic-wrapped, imported, grass-fed",Food,India,Foil,21.0,12805,Air,False,False,23
Local Apples,"Organic, non-GMO, paper-wrapped",Food,USA,TetraPak,15.89,10912,Truck,False,True,43
Eco Body Wash,"Biodegradable, compostable wrapper",Personal Care,Portugal,Paper,23.9,9101,Air,False,True,20
Local Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,Portugal,Cardboard,16.51,6133,Truck,False,True,50
Imported Chicken Nuggets,"Frozen, plastic wrap, processed",Food,Brazil,Glass,0.84,17042,Ship,True,True,50
Local Granola Bar,"Mixed nuts, oats, wrapped in foil",Food,Germany,Foil,20.66,4112,Air,False,True,36
Bottled Water,"Glass bottle, no additives",Beverage,Portugal,Paper,15.94,5935,Air,False,True,43
Local Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,Plastic,5.66,16277,Ship,False,True,42
Imported Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Brazil,Plastic,26.37,16083,Truck,False,True,1
Organic Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Portugal,TetraPak,7.11,19446,Ship,False,True,43
